河北电信petzhu,#genre#
遵化电视,http://mail.petzhu.top:7000/rtp/239.254.201.146:5202 $河北电信petzhu
滦南电视,http://mail.petzhu.top:7000/rtp/239.254.201.22:5191 $河北电信petzhu
玉田电视,http://mail.petzhu.top:7000/rtp/239.254.201.28:5194 $河北电信petzhu
大厂电视,http://mail.petzhu.top:7000/rtp/239.254.201.71:5310 $河北电信petzhu
文安电视,http://mail.petzhu.top:7000/rtp/239.254.201.103:5314 $河北电信petzhu
三河电视,http://mail.petzhu.top:7000/rtp/239.254.201.113:5315 $河北电信petzhu
永清电视,http://mail.petzhu.top:7000/rtp/239.254.201.141:5316 $河北电信petzhu
成安电视,http://mail.petzhu.top:7000/rtp/239.254.201.143:6210 $河北电信petzhu
魏县电视,http://mail.petzhu.top:7000/rtp/239.254.201.148:6211 $河北电信petzhu
黄骅电视,http://mail.petzhu.top:7000/rtp/239.254.201.36:5325 $河北电信petzhu
吴桥电视,http://mail.petzhu.top:7000/rtp/239.254.201.138:5337 $河北电信petzhu
丰宁电视,http://mail.petzhu.top:7000/rtp/239.254.200.5:5290 $河北电信petzhu
阜平电视,http://mail.petzhu.top:7000/rtp/239.254.201.40:5248 $河北电信petzhu
涞水电视,http://mail.petzhu.top:7000/rtp/239.254.201.10:5250 $河北电信petzhu
涞源电视,http://mail.petzhu.top:7000/rtp/239.254.200.213:5260 $河北电信petzhu
高碑店电视,http://mail.petzhu.top:7000/rtp/239.254.200.210:5254 $河北电信petzhu
涿州电视,http://mail.petzhu.top:7000/rtp/239.254.201.17:5261 $河北电信petzhu
唐县电视,http://mail.petzhu.top:7000/rtp/239.254.201.41:5264 $河北电信petzhu
定州电视,http://mail.petzhu.top:7000/rtp/239.254.201.74:6251 $河北电信petzhu
雄县电视,http://mail.petzhu.top:7000/rtp/239.254.201.94:6254 $河北电信petzhu
容城电视,http://mail.petzhu.top:7000/rtp/239.254.201.102:6256 $河北电信petzhu
柏乡电视,http://mail.petzhu.top:7000/rtp/239.254.201.140:5383 $河北电信petzhu
徐水电视,http://mail.petzhu.top:7000/rtp/239.254.201.147:6260 $河北电信petzhu
安平电视,http://mail.petzhu.top:7000/rtp/239.254.201.42:5348 $河北电信petzhu
景县电视,http://mail.petzhu.top:7000/rtp/239.254.200.240:5350 $河北电信petzhu
饶阳电视,http://mail.petzhu.top:7000/rtp/239.254.201.44:5353 $河北电信petzhu
深州电视,http://mail.petzhu.top:7000/rtp/239.254.201.46:5357 $河北电信petzhu
故城电视,http://mail.petzhu.top:7000/rtp/239.254.201.126:5362 $河北电信petzhu
枣强电视,http://mail.petzhu.top:7000/rtp/239.254.201.136:5363 $河北电信petzhu
清河电视,http://mail.petzhu.top:7000/rtp/239.254.200.170:5366 $河北电信petzhu
武安电视,http://mail.petzhu.top:7000/rtp/239.254.201.6:5216 $河北电信petzhu
临漳电视,http://mail.petzhu.top:7000/rtp/239.254.201.73:5221 $河北电信petzhu
涉县电视,http://mail.petzhu.top:7000/rtp/239.254.201.97:5222 $河北电信petzhu
南宫电视,http://mail.petzhu.top:7000/rtp/239.254.201.48:5371 $河北电信petzhu
